This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=1721004&from=1704418954000
0.03076910972595215
[INFO] Trainer: ngp | 2024-01-05_02-43-07 | cuda:0 | fp16 | cunerf-rhino-fine
[INFO] #parameters: 3737530
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is cunerf-rhino-fine/checkpoints/ngp_ep0003.pth.tar
[INFO] loaded model.
==> Start Training Epoch 1, lr=0.001000 ...

  0% 0/690000 [00:00<?, ?it/s]
loss=0.1189 (0.1201): :  74% 510000/690000 [01:23<00:28, 6364.80it/s]
loss=0.1189 (0.1201): :  75% 520000/690000 [01:23<00:26, 6422.96it/s]
loss=0.1181 (0.1200): :  75% 520000/690000 [01:24<00:26, 6422.96it/s]
loss=0.1181 (0.1200): :  77% 530000/690000 [01:24<00:25, 6351.65it/s]
loss=0.1240 (0.1201): :  77% 530000/690000 [01:26<00:25, 6351.65it/s]
loss=0.1240 (0.1201): :  78% 540000/690000 [01:26<00:23, 6342.58it/s]
loss=0.1207 (0.1201): :  78% 540000/690000 [01:27<00:23, 6342.58it/s]
loss=0.1207 (0.1201): :  80% 550000/690000 [01:27<00:21, 6414.36it/s]
loss=0.1152 (0.1200): :  80% 550000/690000 [01:29<00:21, 6414.36it/s]
loss=0.1152 (0.1200): :  81% 560000/690000 [01:29<00:20, 6385.28it/s]
loss=0.1163 (0.1200): :  81% 560000/690000 [01:31<00:20, 6385.28it/s]
loss=0.1163 (0.1200): :  83% 570000/690000 [01:31<00:18, 6374.58it/s]
loss=0.1210 (0.1200): :  83% 570000/690000 [01:32<00:18, 6374.58it/s]
loss=0.1210 (0.1200): :  84% 580000/690000 [01:32<00:17, 6438.61it/s]
loss=0.1200 (0.1200): :  84% 580000/690000 [01:34<00:17, 6438.61it/s]
loss=0.1200 (0.1200): :  86% 590000/690000 [01:34<00:15, 6396.00it/s]
loss=0.1199 (0.1200): :  86% 590000/690000 [01:35<00:15, 6396.00it/s]
loss=0.1199 (0.1200): :  87% 600000/690000 [01:35<00:14, 6379.04it/s]
loss=0.1191 (0.1200): :  87% 600000/690000 [01:37<00:14, 6379.04it/s]
loss=0.1191 (0.1200): :  88% 610000/690000 [01:37<00:12, 6365.48it/s]
loss=0.1172 (0.1199): :  88% 610000/690000 [01:38<00:12, 6365.48it/s]
loss=0.1172 (0.1199): :  90% 620000/690000 [01:38<00:10, 6429.97it/s]
loss=0.1211 (0.1199): :  90% 620000/690000 [01:40<00:10, 6429.97it/s]
loss=0.1211 (0.1199): :  91% 630000/690000 [01:40<00:09, 6398.91it/s]
loss=0.1198 (0.1199): :  91% 630000/690000 [01:41<00:09, 6398.91it/s]
loss=0.1198 (0.1199): :  93% 640000/690000 [01:41<00:07, 6371.11it/s]
loss=0.1169 (0.1199): :  93% 640000/690000 [01:43<00:07, 6371.11it/s]
loss=0.1169 (0.1199): :  94% 650000/690000 [01:43<00:06, 6363.99it/s]
loss=0.1160 (0.1198): :  94% 650000/690000 [01:45<00:06, 6363.99it/s]
loss=0.1160 (0.1198): :  96% 660000/690000 [01:45<00:04, 6430.17it/s]
loss=0.1175 (0.1198): :  96% 660000/690000 [01:46<00:04, 6430.17it/s]
loss=0.1175 (0.1198): :  97% 670000/690000 [01:46<00:03, 6397.82it/s]
loss=0.1206 (0.1198): :  97% 670000/690000 [01:48<00:03, 6397.82it/s]
loss=0.1206 (0.1198): :  99% 680000/690000 [01:48<00:01, 6383.70it/s]
loss=0.1119 (0.1197): :  99% 680000/690000 [01:48<00:01, 6383.70it/s]
loss=0.1119 (0.1197): : 100% 690000/690000 [01:48<00:00, 8578.45it/s]
loss=0.1119 (0.1197): : 100% 690000/690000 [01:48<00:00, 6362.10it/s]
==> Finished Epoch 1.
++> Evaluate at epoch 1 ...

  0% 0/70000 [00:00<?, ?it/s]
loss=0.0576 (0.0576): :   0% 0/70000 [00:01<?, ?it/s]
loss=0.0576 (0.0576): :  14% 10000/70000 [00:01<00:08, 6990.35it/s]
