This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=1726174&from=1704591827000
[INFO] Trainer: ngp | 2024-01-07_02-44-00 | cuda:0 | fp16 | 
/cephyr/users/amirmaso/Alvis/microct-neural-repr/instant-NGP-cunerf/model/cunerf
-rhino-fine
[INFO] #parameters: 5296186
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
==> Start Training Epoch 1, lr=0.001000 ...

  0% 0/2725000 [00:00<?, ?it/s]
loss=0.0926 (0.1182): :   9% 235000/2725000 [00:56<09:45, 4251.52it/s]
loss=0.0920 (0.1176): :   9% 235000/2725000 [00:57<09:45, 4251.52it/s]
loss=0.0920 (0.1176): :   9% 240000/2725000 [00:57<09:40, 4283.50it/s]
loss=0.0961 (0.1172): :   9% 240000/2725000 [00:59<09:40, 4283.50it/s]
loss=0.0961 (0.1172): :   9% 245000/2725000 [00:59<09:51, 4193.67it/s]
loss=0.0918 (0.1167): :   9% 245000/2725000 [01:00<09:51, 4193.67it/s]
loss=0.0918 (0.1167): :   9% 250000/2725000 [01:00<09:43, 4243.64it/s]
loss=0.0925 (0.1162): :   9% 250000/2725000 [01:01<09:43, 4243.64it/s]
loss=0.0925 (0.1162): :   9% 255000/2725000 [01:01<09:37, 4276.26it/s]
loss=0.0915 (0.1157): :   9% 255000/2725000 [01:02<09:37, 4276.26it/s]
loss=0.0915 (0.1157): :  10% 260000/2725000 [01:02<09:43, 4223.03it/s]
loss=0.0845 (0.1151): :  10% 260000/2725000 [01:03<09:43, 4223.03it/s]
loss=0.0845 (0.1151): :  10% 265000/2725000 [01:03<09:38, 4253.26it/s]
loss=0.0878 (0.1146): :  10% 265000/2725000 [01:04<09:38, 4253.26it/s]
loss=0.0878 (0.1146): :  10% 270000/2725000 [01:04<09:35, 4262.94it/s]
loss=0.0883 (0.1142): :  10% 270000/2725000 [01:06<09:35, 4262.94it/s]
loss=0.0883 (0.1142): :  10% 275000/2725000 [01:06<09:32, 4281.60it/s]
loss=0.0889 (0.1137): :  10% 275000/2725000 [01:07<09:32, 4281.60it/s]
loss=0.0889 (0.1137): :  10% 280000/2725000 [01:07<09:42, 4197.18it/s]
loss=0.0874 (0.1132): :  10% 280000/2725000 [01:08<09:42, 4197.18it/s]
loss=0.0874 (0.1132): :  10% 285000/2725000 [01:08<09:37, 4222.53it/s]
loss=0.0815 (0.1127): :  10% 285000/2725000 [01:09<09:37, 4222.53it/s]
loss=0.0815 (0.1127): :  11% 290000/2725000 [01:09<09:33, 4243.73it/s]
loss=0.0842 (0.1122): :  11% 290000/2725000 [01:10<09:33, 4243.73it/s]
loss=0.0842 (0.1122): :  11% 295000/2725000 [01:10<09:39, 4193.03it/s]
loss=0.0806 (0.1117): :  11% 295000/2725000 [01:12<09:39, 4193.03it/s]
loss=0.0806 (0.1117): :  11% 300000/2725000 [01:12<09:32, 4236.35it/s]
loss=0.0780 (0.1111): :  11% 300000/2725000 [01:13<09:32, 4236.35it/s]
loss=0.0780 (0.1111): :  11% 305000/2725000 [01:13<09:27, 4262.55it/s]
loss=0.0768 (0.1106): :  11% 305000/2725000 [01:14<09:27, 4262.55it/s]
loss=0.0768 (0.1106): :  11% 310000/2725000 [01:14<09:35, 4198.82it/s]
loss=0.0745 (0.1100): :  11% 310000/2725000 [01:15<09:35, 4198.82it/s]
loss=0.0745 (0.1100): :  12% 315000/2725000 [01:15<09:28, 4242.86it/s]
loss=0.0741 (0.1094): :  12% 315000/2725000 [01:16<09:28, 4242.86it/s]
loss=0.0741 (0.1094): :  12% 320000/2725000 [01:16<09:23, 4264.91it/s]
loss=0.0711 (0.1089): :  12% 320000/2725000 [01:17<09:23, 4264.91it/s]
loss=0.0711 (0.1089): :  12% 325000/2725000 [01:17<09:29, 4217.67it/s]
loss=0.0701 (0.1083): :  12% 325000/2725000 [01:19<09:29, 4217.67it/s]
loss=0.0701 (0.1083): :  12% 330000/2725000 [01:19<09:22, 4256.18it/s]
loss=0.0650 (0.1076): :  12% 330000/2725000 [01:20<09:22, 4256.18it/s]
loss=0.0650 (0.1076): :  12% 335000/2725000 [01:20<09:18, 4282.07it/s]
loss=0.0589 (0.1069): :  12% 335000/2725000 [01:21<09:18, 4282.07it/s]
loss=0.0589 (0.1069): :  12% 340000/2725000 [01:21<09:21, 4244.18it/s]
loss=0.0498 (0.1061): :  12% 340000/2725000 [01:22<09:21, 4244.18it/s]
loss=0.0498 (0.1061): :  13% 345000/2725000 [01:22<09:15, 4280.97it/s]
loss=0.0374 (0.1051): :  13% 345000/2725000 [01:23<09:15, 4280.97it/s]
loss=0.0374 (0.1051): :  13% 350000/2725000 [01:23<09:13, 4289.75it/s]
loss=0.0285 (0.1040): :  13% 350000/2725000 [01:24<09:13, 4289.75it/s]
loss=0.0285 (0.1040): :  13% 355000/2725000 [01:24<09:11, 4295.65it/s]
loss=0.0251 (0.1029): :  13% 355000/2725000 [01:26<09:11, 4295.65it/s]
loss=0.0251 (0.1029): :  13% 360000/2725000 [01:26<09:22, 4206.24it/s]
loss=0.0239 (0.1018): :  13% 360000/2725000 [01:27<09:22, 4206.24it/s]
loss=0.0239 (0.1018): :  13% 365000/2725000 [01:27<09:15, 4249.69it/s]
loss=0.0231 (0.1008): :  13% 365000/2725000 [01:28<09:15, 4249.69it/s]
loss=0.0231 (0.1008): :  14% 370000/2725000 [01:28<09:10, 4279.82it/s]
loss=0.0210 (0.0997): :  14% 370000/2725000 [01:29<09:10, 4279.82it/s]
loss=0.0210 (0.0997): :  14% 375000/2725000 [01:29<09:15, 4234.06it/s]
loss=0.0189 (0.0986): :  14% 375000/2725000 [01:30<09:15, 4234.06it/s]
loss=0.0189 (0.0986): :  14% 380000/2725000 [01:30<09:10, 4258.86it/s]
loss=0.0193 (0.0976): :  14% 380000/2725000 [01:32<09:10, 4258.86it/s]
loss=0.0193 (0.0976): :  14% 385000/2725000 [01:32<09:07, 4275.63it/s]
loss=0.0159 (0.0966): :  14% 385000/2725000 [01:33<09:07, 4275.63it/s]
loss=0.0159 (0.0966): :  14% 390000/2725000 [01:33<09:11, 4231.88it/s]
loss=0.0145 (0.0955): :  14% 390000/2725000 [01:34<09:11, 4231.88it/s]
loss=0.0145 (0.0955): :  14% 395000/2725000 [01:34<09:04, 4281.78it/s]
loss=0.0127 (0.0945): :  14% 395000/2725000 [01:35<09:04, 4281.78it/s]
loss=0.0127 (0.0945): :  15% 400000/2725000 [01:35<08:58, 4315.94it/s]
loss=0.0116 (0.0935): :  15% 400000/2725000 [01:36<08:58, 4315.94it/s]
loss=0.0116 (0.0935): :  15% 405000/2725000 [01:36<09:05, 4256.17it/s]
loss=0.0110 (0.0925): :  15% 405000/2725000 [01:37<09:05, 4256.17it/s]
loss=0.0110 (0.0925): :  15% 410000/2725000 [01:37<09:02, 4264.12it/s]
loss=0.0101 (0.0915): :  15% 410000/2725000 [01:39<09:02, 4264.12it/s]
loss=0.0101 (0.0915): :  15% 415000/2725000 [01:39<08:58, 4293.26it/s]
loss=0.0114 (0.0905): :  15% 415000/2725000 [01:40<08:58, 4293.26it/s]
loss=0.0114 (0.0905): :  15% 420000/2725000 [01:40<09:02, 4251.04it/s]
loss=0.0120 (0.0896): :  15% 420000/2725000 [01:41<09:02, 4251.04it/s]
loss=0.0120 (0.0896): :  16% 425000/2725000 [01:41<08:56, 4284.68it/s]
loss=0.0111 (0.0887): :  16% 425000/2725000 [01:42<08:56, 4284.68it/s]
loss=0.0111 (0.0887): :  16% 430000/2725000 [01:42<08:54, 4295.78it/s]
loss=0.0110 (0.0878): :  16% 430000/2725000 [01:43<08:54, 4295.78it/s]
loss=0.0110 (0.0878): :  16% 435000/2725000 [01:43<08:52, 4298.86it/s]
loss=0.0110 (0.0869): :  16% 435000/2725000 [01:44<08:52, 4298.86it/s]
loss=0.0110 (0.0869): :  16% 440000/2725000 [01:44<08:59, 4233.53it/s]
loss=0.0096 (0.0861): :  16% 440000/2725000 [01:46<08:59, 4233.53it/s]
loss=0.0096 (0.0861): :  16% 445000/2725000 [01:46<08:55, 4255.91it/s]
loss=0.0101 (0.0852): :  16% 445000/2725000 [01:47<08:55, 4255.91it/s]
loss=0.0101 (0.0852): :  17% 450000/2725000 [01:47<08:53, 4261.22it/s]
loss=0.0107 (0.0844): :  17% 450000/2725000 [01:48<08:53, 4261.22it/s]
loss=0.0107 (0.0844): :  17% 455000/2725000 [01:48<09:00, 4197.47it/s]
loss=0.0091 (0.0836): :  17% 455000/2725000 [01:49<09:00, 4197.47it/s]
loss=0.0091 (0.0836): :  17% 460000/2725000 [01:49<08:55, 4225.89it/s]
loss=0.0088 (0.0828): :  17% 460000/2725000 [01:50<08:55, 4225.89it/s]
loss=0.0088 (0.0828): :  17% 465000/2725000 [01:50<08:50, 4259.17it/s]
loss=0.0084 (0.0820): :  17% 465000/2725000 [01:52<08:50, 4259.17it/s]
loss=0.0084 (0.0820): :  17% 470000/2725000 [01:52<08:57, 4196.56it/s]
loss=0.0081 (0.0812): :  17% 470000/2725000 [01:53<08:57, 4196.56it/s]
loss=0.0081 (0.0812): :  17% 475000/2725000 [01:53<08:52, 4221.79it/s]
loss=0.0076 (0.0804): :  17% 475000/2725000 [01:54<08:52, 4221.79it/s]
loss=0.0076 (0.0804): :  18% 480000/2725000 [01:54<08:46, 4264.07it/s]
loss=0.0066 (0.0797): :  18% 480000/2725000 [01:55<08:46, 4264.07it/s]
loss=0.0066 (0.0797): :  18% 485000/2725000 [01:55<08:49, 4231.09it/s]
loss=0.0066 (0.0789): :  18% 485000/2725000 [01:56<08:49, 4231.09it/s]
loss=0.0066 (0.0789): :  18% 490000/2725000 [01:56<08:41, 4283.50it/s]
loss=0.0066 (0.0782): :  18% 490000/2725000 [01:57<08:41, 4283.50it/s]
loss=0.0066 (0.0782): :  18% 495000/2725000 [01:57<08:38, 4301.23it/s]
loss=0.0056 (0.0775): :  18% 495000/2725000 [01:59<08:38, 4301.23it/s]
loss=0.0056 (0.0775): :  18% 500000/2725000 [01:59<08:46, 4223.33it/s]
